time,s19
2023-07-24 07:16:31,100.0
2023-07-24 07:16:32,100.0
2023-07-24 07:16:33,100.0
2023-07-24 07:16:34,100.0
2023-07-24 07:16:39,100.0
2023-07-24 07:16:40,100.0
2023-07-24 07:16:41,100.0
2023-07-24 07:16:42,100.0
2023-07-24 07:16:47,100.0
2023-07-24 07:16:48,100.0
2023-07-24 07:16:49,100.0
2023-07-24 07:16:50,100.0
2023-07-24 07:16:55,100.0
2023-07-24 07:16:56,100.0
2023-07-24 07:16:57,100.0
2023-07-24 07:16:58,100.0
2023-07-24 07:17:03,100.0
2023-07-24 07:17:04,100.0
2023-07-24 07:17:05,100.0
2023-07-24 07:17:06,100.0
2023-07-24 07:17:11,100.0
2023-07-24 07:17:12,100.0
2023-07-24 07:17:13,100.0
2023-07-24 07:17:14,100.0
2023-07-24 07:17:19,100.0
2023-07-24 07:17:20,100.0
2023-07-24 07:17:21,100.0
2023-07-24 07:17:22,100.0
2023-07-24 07:17:27,100.0
2023-07-24 07:17:28,100.0
2023-07-24 07:17:29,100.0
2023-07-24 07:17:30,100.0
2023-07-24 07:17:35,100.0
2023-07-24 07:17:36,100.0
2023-07-24 07:17:37,100.0
2023-07-24 07:17:38,100.0
2023-07-24 07:17:45,100.0
2023-07-24 07:17:46,100.0
2023-07-24 07:17:47,100.0
2023-07-24 07:17:48,100.0
2023-07-24 07:18:15,100.0
2023-07-24 07:18:16,100.0
2023-07-24 07:18:25,100.0
2023-07-24 07:18:26,100.0
2023-07-24 07:18:27,100.0
2023-07-24 07:18:28,100.0
2023-07-24 07:18:33,100.0
2023-07-24 07:18:34,100.0
2023-07-24 07:18:35,100.0
2023-07-24 07:18:36,100.0
2023-07-24 07:18:41,100.0
2023-07-24 07:18:42,100.0
2023-07-24 07:18:43,100.0
2023-07-24 07:18:44,100.0
2023-07-24 07:18:49,100.0
2023-07-24 07:18:50,100.0
2023-07-24 07:18:51,100.0
2023-07-24 07:18:52,100.0
2023-07-24 07:18:57,100.0
2023-07-24 07:18:58,100.0
2023-07-24 07:18:59,100.0
2023-07-24 07:19:00,100.0
2023-07-24 07:19:05,100.0
2023-07-24 07:19:06,100.0
2023-07-24 07:19:07,100.0
2023-07-24 07:19:08,100.0
2023-07-24 07:19:13,100.0
2023-07-24 07:19:14,100.0
2023-07-24 07:19:15,100.0
2023-07-24 07:19:16,100.0
2023-07-24 07:19:21,100.0
2023-07-24 07:19:22,100.0
2023-07-24 07:19:23,100.0
2023-07-24 07:19:24,100.0
2023-07-24 07:19:29,100.0
2023-07-24 07:19:30,100.0
2023-07-24 07:19:31,100.0
2023-07-24 07:19:32,100.0
2023-07-24 07:19:37,100.0
2023-07-24 07:19:38,100.0
2023-07-24 07:19:39,100.0
2023-07-24 07:19:40,100.0
2023-07-24 07:19:45,100.0
2023-07-24 07:19:46,100.0
2023-07-24 07:19:47,100.0
2023-07-24 07:19:48,100.0
2023-07-24 07:19:53,100.0
2023-07-24 07:19:54,100.0
2023-07-24 07:19:55,100.0
2023-07-24 07:19:56,100.0
